,congress,chamber,result,description,vote_result_category,democratic_yes,democratic_no,democratic_present,democratic_not_voting,democratic_majority_position,republican_yes,republican_no,republican_present,republican_not_voting,republican_majority_position,independent_yes,independent_no,independent_present,independent_not_voting,total_yes,total_no,total_present,total_not_voting,pass
0,106,Senate,Agreed to,Collins Amdt No. 2854; To amend the Internal Revenue Code of 1986 to eliminate the 2-percent floor on miscellaneous itemized deductions for qualified professional development expenses of elementary and secondary school teachers and to allow a credit again,pass,45,0,0,0,Yes,53,0,0,2,Yes,0,0,0,0,98,0,0,2,pass
1,106,Senate,Rejected,Motion to Waive CBA re: Dodd Amdt No 2857; To increase funding for part B of the Individuals with Disabilities Education Act.,not pass,41,4,0,0,Yes,3,50,0,2,No,0,0,0,0,44,54,0,2,not pass
2,106,Senate,Confirmed,"Confirmation: George B. Daniels to be U.S. District Judge, Southern District NY",pass,44,0,0,1,Yes,54,0,0,1,Yes,0,0,0,0,98,0,0,2,pass
3,106,Senate,Confirmed,"Nomination of Kermit Bye of North Dakota to be US Circuit Judge, Eighth Circuit",pass,44,0,0,1,Yes,54,0,0,1,Yes,0,0,0,0,98,0,0,2,pass
4,106,Senate,Passed,H.R. 1883 As Amended; Iran Nonproliferation Act of 2000,pass,44,0,0,1,Yes,54,0,0,1,Yes,0,0,0,0,98,0,0,2,pass
5,106,Senate,Confirmed,"Conf. of Joel A. Pisano, of New Jersey, U. S. District Judge for Dist. of N.J.",pass,44,0,0,1,Yes,51,2,0,2,Yes,0,0,0,0,95,2,0,3,pass
6,106,Senate,Confirmed,"Conf. of Thomas L. Ambro, of Delaware,  U.S. Circuit Judge for the Third Circuit",pass,44,0,0,1,Yes,52,2,0,1,Yes,0,0,0,0,96,2,0,2,pass
7,106,Senate,Agreed to,Motion to Proceed to Exec. Session to Consider Nomination of Thomas L. Ambro,pass,44,0,0,1,Yes,35,19,0,1,Yes,0,0,0,0,79,19,0,2,pass
8,106,Senate,Passed,S.1287 As Amended; Nuclear Waste Policy Amendments Act of 2000,pass,12,32,0,1,No,52,2,0,1,Yes,0,0,0,0,64,34,0,2,pass
9,106,Senate,Agreed to,Motion to Invoke Cloture on Murkowski Amendment No. 2808; To provide a complete substitute.,pass,40,3,0,2,Yes,54,0,0,1,Yes,0,0,0,0,94,3,0,3,pass
10,106,Senate,Confirmed,Confirmation: Alan Greenspan to be Chairman of Federal Reserve Board ,pass,39,4,0,2,Yes,50,0,0,5,Yes,0,0,0,0,89,4,0,7,pass
11,106,Senate,Passed,H.R. 833 As Amended; Bankruptcy Reform Act of 2000,pass,33,12,0,0,Yes,50,2,1,2,Yes,0,0,0,0,83,14,1,2,pass
12,106,Senate,Rejected,"Levin Amendment No. 2658; To provide for the nondischargeability of debts arising from firearm-related debts, and for other purposes.",not pass,28,17,0,0,Yes,1,51,1,2,No,0,0,0,0,29,68,1,2,not pass
13,106,Senate,Agreed to,"Motion to Table Feingold Amendment No. 2748 As Modified; To provide for an exception to a limitation on an automatic stay under section 362(b) of title 11, United States Code, relating to evictions and similar proceedings to provide for the payment of ren",pass,4,41,0,0,No,50,2,1,2,Yes,0,0,0,0,54,43,1,2,pass
14,106,Senate,Agreed to,Schumer Amendment No. 2763; To ensure that debts incurred as a result of clinic violence are nondischargeable.,pass,45,0,0,0,Yes,35,17,1,2,Yes,0,0,0,0,80,17,1,2,pass
15,106,Senate,Agreed to,Motion to Table Wellstone Amdt 2538; To make an amendment with respect to the disallowance of certain claims and to prohibit certain coercive debt collection practices.,pass,2,43,0,0,No,51,1,1,2,Yes,0,0,0,0,53,44,1,2,pass
16,106,Senate,Agreed to,Motion To Invoke Cloture On Motion To Proceed To S. 2285; A bill instituting a Federal fuels tax holiday.,pass,38,6,0,1,Yes,48,5,0,2,Yes,0,0,0,0,86,11,0,3,pass
17,106,Senate,Passed,S. 2097 As Amended; Launching Our Communities' Access to Local Television Act of 2000,pass,44,0,0,1,Yes,53,0,1,1,Yes,0,0,0,0,97,0,1,2,pass
18,106,Senate,Agreed to,Johnson Amendment No. 2903; To address certain lending practices.,pass,44,0,0,1,Yes,55,0,0,0,Yes,0,0,0,0,99,0,0,1,pass
19,106,Senate,Rejected,S.J.Res. 14; A joint resolution proposing an amendment to the Constitution of the United States authorizing Congress to prohibit the physical desecration of the flag of the United States.,not pass,12,33,0,0,No,51,4,0,0,Yes,0,0,0,0,63,37,0,0,not pass
20,106,Senate,Agreed to,Motion To Invoke Cloture On S.J. Res. 14; A joint resolution proposing an amendment to the Constitution of the United States authorizing Congress to prohibit the physical desecration of the flag of the United States.,pass,45,0,0,0,Yes,55,0,0,0,Yes,0,0,0,0,100,0,0,0,pass
21,106,Senate,Agreed to,Motion to Table Hollings Amendment No. 2890; To propose an amendment to the Constitution of the United States relating to contributions and expenditures intended to affect elections.,pass,15,30,0,0,No,52,3,0,0,Yes,0,0,0,0,67,33,0,0,pass
22,106,Senate,Rejected,"McConnell Amendment No. 2889; To provide for the protection of the flag of the United States and free speech, and for other purposes.",not pass,29,16,0,0,Yes,7,48,0,0,No,0,0,0,0,36,64,0,0,not pass
23,106,Senate,Passed,H.R. 2559 as amended; Agricultural Risk Protection Act of 2000,pass,45,0,0,0,Yes,50,5,0,0,Yes,0,0,0,0,95,5,0,0,pass
24,106,Senate,Agreed to,Wellstone Amendment No. 2888; To express the sense of Congress regarding the Rally for Rural America and the rural crisis.,pass,45,0,0,0,Yes,54,1,0,0,Yes,0,0,0,0,99,1,0,0,pass
25,106,Senate,Passed,H.R. 5 as amended.; Senior Citizens' Freedom to Work Act of 2000,pass,45,0,0,0,Yes,55,0,0,0,Yes,0,0,0,0,100,0,0,0,pass
