"","bill","introduced","title","area","sponsor.party","cosponsors.r","cosponsors.d","cosponsors.i","status"
"1","SRES157","2017-05-04","Reaffirming the 40 years of relations between the United States and the Association of Southeast Asian Nations (ASEAN), and the shared pursuit of economic growth and regional security in Southeast Asia.","international affairs","D",1,5,0,"Introduced"
"8","SRES158","2017-05-04","A resolution recognizing the cultural and historical significance of the Cinco de Mayo holiday.","international affairs","D",3,10,0,"Passed senate"
"22","SRES15","2017-01-20","A resolution expressing the sense of the Senate that the Mexico City policy should be permanently established.","international affairs","R",10,0,0,"Introduced"
"33","SRES162","2017-05-11","A resolution reaffirming the commitment of the United States to promoting religious freedom, and for other purposes.","international affairs","R",8,1,0,"Introduced"
"43","SRES161","2017-05-10","A resolution expressing the sense of the Senate that defense laboratories are on the cutting-edge of scientific and technological advancement, and supporting the designation of May 18, 2017, as ""Department of Defense Laboratory Day"".","armed forces and national security","D",2,9,0,"Introduced"
"55","SRES166","2017-05-16","Expressing support for the designation of the week of May 6 through May 12, 2017, as National Nurses Week.","health","R",2,1,0,"Passed senate"
"59","SRES165","2017-05-16","A resolution expressing support for the designation of the week of April 29 through May 5, 2018, as ""National Small Business Week"" while commending the entrepreneurial spirit of small business owners of the United States, and the impact they have on their communities.","commerce","R",11,9,0,"Passed senate"
"80","SRES164","2017-05-16","Recognizing the contributions of senior volunteers.","labor and employment","D",3,8,1,"Passed senate"
"93","SRES163","2017-05-16","Recognizing the roles and contributions of America's teachers to building and enhancing the Nation's civic, cultural, and economic well-being.","education","R",8,18,0,"Passed senate"
"120","SRES170","2017-05-17","A resolution expressing the sense of the Senate that defense laboratories are on the cutting-edge of scientific and technological advancement, and supporting the designation of May 18, 2017, as ""Department of Defense Laboratory Day"".","science, technology, communications","D",1,9,0,"Passed senate"
"131","SRES167","2017-05-17","A resolution relating to the recognition of Jerusalem as the capital of Israel and the relocation of the United States Embassy to Jerusalem.","international affairs","R",3,0,0,"Introduced"
"135","SRES168","2017-05-17","Supporting respect for human rights and encouraging inclusive governance in Ethiopia.","international affairs","D",8,24,0,"Introduced"
"168","SRES171","2017-05-17","A resolution supporting the goals and ideals of ""National Travel and Tourism Week"" and honoring the valuable contributions of travel and tourism to the United States.","transportation and public works","D",2,1,0,"Passed senate"
"172","SRES169","2017-05-17","Congratulating and honoring Fermi National Accelerator Laboratory on 50 years of groundbreaking discoveries.","science, technology, communications","D",0,1,0,"Introduced"
"174","SRES172","2017-05-18","A resolution designating May 2018 as ""Older Americans Month"".","social welfare","R",4,8,0,"Passed senate"
"187","SRES174","2017-05-18","A resolution recognizing the 100th anniversary of Lions Clubs International and celebrating the Lions Clubs International for a long history of humanitarian service.","social welfare","R",7,5,0,"Passed senate"
"200","SRES173","2017-05-18","A resolution designating the week of May 15 through May 21, 2017, as ""National Police Week"".","crime and law enforcement","R",39,27,1,"Passed senate"
"268","SRES175","2017-05-22","A resolution recognizing the 100th anniversary of the commissioned officer corps of the National Oceanic and Atmospheric Administration.","public lands and natural resources","R",2,2,0,"Passed senate"
"273","SRES179","2017-05-25","Expressing support for the goals and ideals of June 1 through June 3, 2018 as ""National Gun Violence Awareness Weekend"" and June 2018 as ""National Gun Violence Awareness Month"".","crime and law enforcement","D",0,9,0,"Introduced"
"283","SRES177","2017-05-24","Congratulating the Webster University chess team for winning a record-breaking fifth consecutive national title at the President's Cup collegiate chess championship in New York City.","education","D",1,0,0,"Passed senate"
"285","SRES178","2017-05-24","A resolution to authorize testimony, document production, and representation in United States v. Kevin Lee Olson.","congress","R",0,1,0,"Passed senate"
