"","id","name","last","party","state"
"1","C000141","Sen. Cardin, Benjamin L. [D-MD]","Cardin","D","MD"
"2","M000303","Sen. McCain, John [R-AZ]","Mccain","R","AZ"
"3","M000133","Sen. Markey, Edward J. [D-MA]","Markey","D","MA"
"4","C001088","Sen. Coons, Christopher A. [D-DE]","Coons","D","DE"
"5","S001194","Sen. Schatz, Brian [D-HI]","Schatz","D","HI"
"6","F000062","Sen. Feinstein, Dianne [D-CA]","Feinstein","D","CA"
"7","H001042","Sen. Hirono, Mazie K. [D-HI]","Hirono","D","HI"
"8","M000639","Sen. Menendez, Robert [D-NJ]","Menendez","D","NJ"
"9","C001056","Sen. Cornyn, John [R-TX]","Cornyn","R","TX"
"10","B001267","Sen. Bennet, Michael F. [D-CO]","Bennet","D","CO"
"11","C001113","Sen. Cortez Masto, Catherine [D-NV]","Cortez Masto","D","NV"
"12","C001098","Sen. Cruz, Ted [R-TX]","Cruz","R","TX"
"13","D000563","Sen. Durbin, Richard J. [D-IL]","Durbin","D","IL"
"14","F000457","Sen. Franken, Al [D-MN]","Franken","D","MN"
"15","G000562","Sen. Gardner, Cory [R-CO]","Gardner","R","CO"
"16","H001046","Sen. Heinrich, Martin [D-NM]","Heinrich","D","NM"
"17","M001111","Sen. Murray, Patty [D-WA]","Murray","D","WA"
"18","S000148","Sen. Schumer, Charles E. [D-NY]","Schumer","D","NY"
"19","U000039","Sen. Udall, Tom [D-NM]","Udall","D","NM"
"20","D000622","Sen. Duckworth, Tammy [D-IL]","Duckworth","D","IL"
"22","L000577","Sen. Lee, Mike [R-UT]","Lee","R","UT"
"23","D000618","Sen. Daines, Steve [R-MT]","Daines","R","MT"
"24","M000934","Sen. Moran, Jerry [R-KS]","Moran","R","KS"
"25","S001197","Sen. Sasse, Ben [R-NE]","Sasse","R","NE"
"28","P000603","Sen. Paul, Rand [R-KY]","Paul","R","KY"
"29","L000575","Sen. Lankford, James [R-OK]","Lankford","R","OK"
"30","F000463","Sen. Fischer, Deb [R-NE]","Fischer","R","NE"
"31","R000595","Sen. Rubio, Marco [R-FL]","Rubio","R","FL"
"32","R000584","Sen. Risch, James E. [R-ID]","Risch","R","ID"
"36","B000575","Sen. Blunt, Roy [R-MO]","Blunt","R","MO"
"37","S001202","Sen. Strange, Luther [R-AL]","Strange","R","AL"
"39","C001075","Sen. Cassidy, Bill [R-LA]","Cassidy","R","LA"
"40","B001236","Sen. Boozman, John [R-AR]","Boozman","R","AR"
"41","S001184","Sen. Scott, Tim [R-SC]","Scott","R","SC"
"42","B001135","Sen. Burr, Richard [R-NC]","Burr","R","NC"
"43","D000607","Sen. Donnelly, Joe [D-IN]","Donnelly","D","IN"
"44","P000449","Sen. Portman, Rob [R-OH]","Portman","R","OH"
"45","B000944","Sen. Brown, Sherrod [D-OH]","Brown","D","OH"
"46","N000032","Sen. Nelson, Bill [D-FL]","Nelson","D","FL"
"47","W000817","Sen. Warren, Elizabeth [D-MA]","Warren","D","MA"
"48","R000122","Sen. Reed, Jack [D-RI]","Reed","D","RI"
"49","S001181","Sen. Shaheen, Jeanne [D-NH]","Shaheen","D","NH"
"50","P000595","Sen. Peters, Gary C. [D-MI]","Peters","D","MI"
"52","V000128","Sen. Van Hollen, Chris [D-MD]","Van Hollen","D","MD"
"53","G000555","Sen. Gillibrand, Kirsten E. [D-NY]","Gillibrand","D","NY"
"54","Y000064","Sen. Young, Todd [R-IN]","Young","R","IN"
"55","W000437","Sen. Wicker, Roger F. [R-MS]","Wicker","R","MS"
"56","M001176","Sen. Merkley, Jeff [D-OR]","Merkley","D","OR"
"57","T000476","Sen. Tillis, Thomas [R-NC]","Tillis","R","NC"
"63","I000024","Sen. Inhofe, James M. [R-OK]","Inhofe","R","OK"
"65","E000285","Sen. Enzi, Michael B. [R-WY]","Enzi","R","WY"
"67","C001047","Sen. Capito, Shelley Moore [R-WV]","Capito","R","WV"
"68","C000127","Sen. Cantwell, Maria [D-WA]","Cantwell","D","WA"
"69","E000295","Sen. Ernst, Joni [R-IA]","Ernst","R","IA"
"70","H001069","Sen. Heitkamp, Heidi [D-ND]","Heitkamp","D","ND"
"71","K000393","Sen. Kennedy, John [R-LA]","Kennedy","R","LA"
"72","B001288","Sen. Booker, Cory A. [D-NJ]","Booker","D","NJ"
"77","R000605","Sen. Rounds, Mike [R-SD]","Rounds","R","SD"
"79","H001061","Sen. Hoeven, John [R-ND]","Hoeven","R","ND"
"80","W000802","Sen. Whitehouse, Sheldon [D-RI]","Whitehouse","D","RI"
"84","B001230","Sen. Baldwin, Tammy [D-WI]","Baldwin","D","WI"
"85","C001035","Sen. Collins, Susan M. [R-ME]","Collins","R","ME"
"88","H001076","Sen. Hassan, Margaret Wood [D-NH]","Hassan","D","NH"
"90","K000383","Sen. King, Angus S., Jr. [I-ME]","King","I","ME"
"95","C001095","Sen. Cotton, Tom [R-AR]","Cotton","R","AR"
"100","H000338","Sen. Hatch, Orrin G. [R-UT]","Hatch","R","UT"
"102","I000055","Sen. Isakson, Johnny [R-GA]","Isakson","R","GA"
"104","C000174","Sen. Carper, Thomas R. [D-DE]","Carper","D","DE"
"106","W000779","Sen. Wyden, Ron [D-OR]","Wyden","D","OR"
"115","B001277","Sen. Blumenthal, Richard [D-CT]","Blumenthal","D","CT"
"118","K000367","Sen. Klobuchar, Amy [D-MN]","Klobuchar","D","MN"
"131","H001041","Sen. Heller, Dean [R-NV]","Heller","R","NV"
"132","G000359","Sen. Graham, Lindsey [R-SC]","Graham","R","SC"
"141","S000770","Sen. Stabenow, Debbie [D-MI]","Stabenow","D","MI"
"149","W000805","Sen. Warner, Mark R. [D-VA]","Warner","D","VA"
"154","C001070","Sen. Casey, Robert P., Jr. [D-PA]","Casey","D","PA"
"156","L000174","Sen. Leahy, Patrick J. [D-VT]","Leahy","D","VT"
"158","T000250","Sen. Thune, John [R-SD]","Thune","R","SD"
"176","F000444","Sen. Flake, Jeff [R-AZ]","Flake","R","AZ"
"193","A000360","Sen. Alexander, Lamar [R-TN]","Alexander","R","TN"
"195","M001153","Sen. Murkowski, Lisa [R-AK]","Murkowski","R","AK"
"200","G000386","Sen. Grassley, Chuck [R-IA]","Grassley","R","IA"
